longitude,latitude,flood_label,elevation,slope,aspect,flow_accumulation,twi,curvature,mean_annual_rainfall,mean_rainy_days,extreme_rain_freq,lulc,ndvi,soil_permeability,distance_to_river,distance_to_drainage,gpm_antecedent_rainfall
3.265061647425019,6.431353529361097,1,3.746725,1.4874356,125.90737,1.0,4.218101,0.27280396,1709.9641,123.4,1.7,30.0,0.07525587,20.5,10372.157,80.48385,55.355
3.3052163406251616,6.459380966225626,1,6.7686353,2.8761957,187.8142,513.04083,9.037283,-0.8767993,1509.2141,124.8,1.2,50.0,0.09399773,21.495512,0.0,116.06548,62.36625
3.2806923333686986,6.501691616107656,1,7.4562597,1.0512481,82.297356,1.0,4.404421,-0.33808994,1635.545,126.7,1.8,50.0,0.13197705,28.5,8900.134,345.01315,60.59533
3.3133011781822375,6.406829522104633,1,7.0530796,3.133204,83.34924,3.0,4.1495442,1.5819534,1685.709,123.2,1.7,30.0,0.2585868,23.5,15745.925,136.28958,62.36625
3.298478975994265,6.489833854357277,1,4.1621633,2.488135,163.53918,477.0,9.505425,-1.4563016,1551.5386,125.8,1.4,50.0,0.10662049,27.0,0.0,276.56873,55.355
3.220325546275867,6.480401543874023,1,6.7076807,2.4385502,133.5158,6.0,5.1074653,1.6200354,1572.0745,124.3,1.3,50.0,0.34664345,29.13192,18468.543,1020.52167,55.355
3.2723380012263874,6.455338547447088,1,5.3319044,2.507454,166.50854,1.0,3.2452326,2.4561415,1551.5386,125.8,1.4,50.0,0.09915014,25.986025,14935.608,588.53656,55.355
3.2154746437416213,6.4599199553960975,1,11.849905,5.62944,159.18314,7.0,4.418714,-4.253898,1572.0745,124.3,1.3,30.0,0.27506712,27.0,15186.943,339.9857,55.355
3.299017965164737,6.488216886845862,1,1.5937417,2.062548,150.04033,477.6995,9.709168,-0.019497884,1551.5386,125.8,1.4,50.0,0.1557756,26.0,0.0,240.66528,55.6903
3.3052163406251616,6.525946128778882,1,20.895042,4.789675,159.77463,1.0,2.6102319,-2.063071,1885.315,128.6,3.4,50.0,0.24583742,29.126122,1939.9349,1064.2085,61.681248
3.25266489650417,6.521095226244637,1,16.553074,1.9347203,115.74155,1.6514397,4.306123,0.1538502,1635.545,126.7,1.8,50.0,0.1433649,26.0,7860.611,1478.0422,60.66
3.313840167352709,6.447523204475248,1,4.5363503,4.7676234,135.95686,560.0,9.053329,-0.69940627,1685.709,123.2,1.7,50.0,0.06517626,21.169725,0.0,76.73967,62.36625
3.227601900077235,6.476089630510249,1,10.745434,2.688145,160.48242,1.0,3.2189038,-2.390078,1572.0745,124.3,1.3,50.0,0.40178296,29.219423,19012.262,746.57544,55.355
3.2459275318732734,6.4561470312027955,1,3.3738372,4.015043,166.97748,3.0,3.8768706,1.9214022,1572.0745,124.3,1.3,50.0,0.23383832,27.0,13288.788,411.39526,55.355
3.235147748463839,6.521903710000345,1,12.728158,2.6404843,172.62427,1.0,3.1760917,-1.3923253,1690.8632,125.5,2.0,50.0,0.21236178,30.754705,1845.6405,1796.0685,60.66
3.2567073152827075,6.4523741070094935,1,6.7996616,3.8173263,163.28912,1.0,2.9106495,1.7103189,1551.5386,125.8,1.4,50.0,0.31472796,24.641392,15207.632,557.1554,55.355
3.283387279221057,6.490911832698221,1,1.6651498,3.3500605,149.33328,7.779057,5.127588,0.26024145,1551.5386,125.8,1.4,30.0,0.31408954,28.691963,7397.321,173.83925,55.355
3.2534733802598774,6.42919757267921,1,0.9833907,2.1423678,82.05473,6.6691775,4.6121035,2.5368664,1709.9641,123.4,1.7,30.0,0.10985728,19.78694,5415.5605,26.088293,55.355
3.2472750047994525,6.468274287538409,1,12.081745,5.44431,93.730095,1.0,2.5434952,2.660138,1572.0745,124.3,1.3,50.0,0.08155696,28.5,19212.334,66.2316,55.355
3.3035993731137467,6.408446489616049,1,6.791205,2.8224125,139.68169,2.1827986,3.921788,0.78116655,1685.709,123.2,1.7,30.0,0.26169562,18.0,17236.535,92.38485,62.36625
3.246197026458509,6.520556237074166,1,14.725607,3.2477014,237.28188,2.2905498,3.7543952,-0.13914086,1690.8632,125.5,2.0,50.0,0.17680156,29.491093,5173.6577,1646.6075,60.66
3.2553598423565284,6.506812013227137,1,6.6400948,3.587633,153.81912,162.0,8.116669,2.9495656,1635.545,126.7,1.8,10.0,0.63245267,31.5,7643.118,1203.1191,60.66
3.3052163406251616,6.469891255049824,1,5.5344,1.905818,141.23563,1.0,3.802454,-0.7808299,1509.2141,124.8,1.2,50.0,0.10221895,22.628853,2251.1096,236.75127,62.36625
3.257515799038415,6.450757139498078,1,6.8284745,1.6991135,155.4017,1.0,3.7925966,1.1284503,1551.5386,125.8,1.4,50.0,0.15922803,28.0,15245.697,537.9106,55.355
3.248352983140396,6.453452085350437,1,6.3767653,2.5605564,140.31209,2.0886202,4.0834556,1.1735352,1572.0745,124.3,1.3,50.0,0.095803164,26.237053,12734.886,488.03253,55.355
3.250778434407519,6.511932410346618,1,17.267944,3.7570543,201.36366,166.31685,7.588372,-0.41452459,1635.545,126.7,1.8,50.0,0.16759594,28.447958,5068.9214,1399.9092,60.66
3.2701820445445002,6.452913096179965,1,5.428094,3.6211066,191.68816,2.0695107,3.6190546,0.8844745,1551.5386,125.8,1.4,50.0,0.14668253,25.0,16521.78,565.15094,55.355
3.2696430553740288,6.467196309197465,1,3.684107,2.2900054,144.7196,1.8026,3.869084,1.2278059,1551.5386,125.8,1.4,50.0,0.29493234,26.5,14912.463,576.3993,55.355
3.25266489650417,6.488486381431098,1,7.9404387,4.4890165,158.16727,3.0,3.758915,0.83884066,1551.5386,125.8,1.4,30.0,0.3834394,31.416544,12601.653,634.6198,55.355
3.29362807346002,6.508159486153316,1,5.8848124,2.8403347,116.63267,1.8032644,3.5320191,0.66222733,1635.545,126.7,1.8,60.0,0.11861659,27.489958,1386.0684,352.50146,60.66
3.3227334886654925,6.440785839844351,1,5.610884,2.1275854,183.76494,1.0,3.459584,0.58067846,1685.709,123.2,1.7,50.0,0.11281872,19.718817,1143.9382,154.41031,62.36625
3.2677565932773778,6.512201904931854,1,6.6803102,4.3879704,218.64374,1.0989174,2.76504,1.4261626,1635.545,126.7,1.8,50.0,0.26425132,29.017347,14586.738,885.5409,60.66
3.25266489650417,6.436204431895342,1,0.8333438,2.6773825,165.94107,8.0,5.311095,2.1285336,1709.9641,123.4,1.7,60.0,0.15129359,22.0,7219.7236,9.587994,55.355
3.2529343910894055,6.436473926480578,1,1.1070951,2.5025897,176.14566,8.0,5.4298067,0.33956057,1709.9641,123.4,1.7,50.0,0.102030054,23.13992,7913.182,43.722397,55.355
3.2561683261122356,6.47150822256124,1,14.596981,2.4522107,175.17883,1.0,3.523878,-1.2176224,1551.5386,125.8,1.4,50.0,0.41804245,28.350904,22052.11,151.87457,55.355
3.2362257268047823,6.514627356198976,1,8.229389,3.0104616,229.10422,214.0,8.370435,-2.1645243,1690.8632,125.5,2.0,50.0,0.15050012,32.5,0.0,1556.0077,60.66
3.291741611363369,6.487138908504919,1,2.9766226,1.8276737,104.86951,12.332887,4.901325,-1.0018387,1551.5386,125.8,1.4,30.0,0.32172105,24.087208,2387.9438,72.734955,55.355
3.281500817124406,6.498188186499589,1,5.8694243,2.6707976,121.864426,2.0,3.9762583,-0.117195494,1551.5386,125.8,1.4,50.0,0.1604336,29.373375,8399.196,292.91898,56.343372
3.2397291564128485,6.4486011828161915,1,6.3582597,2.504901,154.51288,1.0,3.2847157,0.15061514,1748.6932,122.2,2.3,50.0,0.054918233,29.0,7593.3384,347.50894,55.355
3.287160203414359,6.458302987884682,1,8.150685,2.3959506,110.298035,1.3947092,3.6090176,0.11950524,1551.5386,125.8,1.4,50.0,0.095193215,24.392632,7050.988,465.96683,55.355
3.3038688676989825,6.450757139498078,1,4.4070916,1.6188554,178.03606,1.0,4.0512295,0.22797918,1509.2141,124.8,1.2,50.0,0.16667546,22.751507,3555.1475,255.23875,62.36625
3.2674870986921416,6.509506959079495,1,5.0988703,2.5225422,192.06863,1.0,3.238083,1.552407,1635.545,126.7,1.8,50.0,0.35788536,29.560482,14586.738,840.19916,60.66
3.2302968459295935,6.476628619680721,1,10.197206,2.8448608,136.8529,2.0,3.875051,-1.1435343,1572.0745,124.3,1.3,50.0,0.27986726,29.664568,18596.385,660.4124,55.355
3.216283127497329,6.485252446408268,1,6.140773,3.2841783,189.73038,10.157707,5.284294,-1.412979,1572.0745,124.3,1.3,30.0,0.58759767,30.642395,17703.236,1133.4324,55.355
3.2761109254196894,6.458033493299447,1,5.3210354,1.8734895,160.14731,1.2133608,3.7605014,0.08349702,1551.5386,125.8,1.4,50.0,0.30134475,26.5,12483.746,597.35614,55.355
3.2362257268047823,6.4472537098900125,1,7.545922,2.6019893,138.06941,1.0,3.357127,0.23209088,1748.6932,122.2,2.3,50.0,0.123703115,27.584862,6263.5806,272.5118,55.355
3.2715295174706798,6.434048475213455,1,1.0801995,1.711927,144.28972,12.626097,4.8206825,0.3174247,1709.9641,123.4,1.7,50.0,0.12360311,20.0,13785.755,71.37731,55.355
3.2637141744988396,6.520825731659401,1,18.255281,2.306558,173.66064,1.6742802,3.8084908,0.03742916,1635.545,126.7,1.8,50.0,0.16123134,26.517817,12890.065,1167.4427,60.66
3.278266882101576,6.5051950457157215,1,9.924762,2.7405784,129.9355,1.0,3.2002056,-1.331228,1635.545,126.7,1.8,50.0,0.43025756,28.489952,9902.01,452.22528,60.66
3.3205775319836057,6.445097753208126,1,5.0151186,1.4069555,97.530106,1.8960035,4.5650268,0.0404411,1685.709,123.2,1.7,50.0,0.07711844,21.715874,1930.7888,131.40002,62.36625
3.2249069542248763,6.456955514958503,1,3.2938185,1.8747324,195.75186,3.2458403,4.654626,1.5241432,1572.0745,124.3,1.3,50.0,0.3557247,25.797344,11803.07,515.6994,55.355
3.250239445237047,6.4779760926069,1,9.856453,2.224528,140.24086,1.0,3.3912728,-0.16835757,1551.5386,125.8,1.4,10.0,0.44542924,27.5,17791.209,269.1921,55.355
3.2550903477712922,6.456686020373267,1,4.370676,3.716505,159.87698,1.0,3.047032,4.0635686,1551.5386,125.8,1.4,50.0,0.17078182,26.0,16387.564,405.80692,55.355
3.24484955353233,6.521364720829872,1,15.558844,1.7831455,200.56926,2.9771965,4.893144,-1.1340231,1690.8632,125.5,2.0,50.0,0.12557288,28.62659,5403.809,1687.1005,60.66
3.293358578874784,6.487408403090155,1,1.470991,2.7821248,123.02484,43.942898,6.359942,-0.0024565684,1551.5386,125.8,1.4,50.0,0.17110799,24.087208,1887.0061,100.981,55.355
3.239459661827613,6.450487644912843,1,2.8970633,1.2983606,73.88174,2.0,4.9196544,0.0015372585,1572.0745,124.3,1.3,50.0,0.15970732,29.5,8456.835,399.79385,55.355
3.300904427261388,6.502500099863363,1,3.3081162,2.6572192,176.34099,1.0,3.155895,-0.86662245,1885.315,128.6,3.4,50.0,0.22490063,27.5,621.4333,396.1915,61.118103
3.2591327665498304,6.497918691914354,1,3.437844,2.839473,185.56216,3.0,4.333799,0.50566834,1551.5386,125.8,1.4,50.0,0.21197279,32.5647,11319.663,975.3779,56.343372
3.2960535247271427,6.468274287538409,1,5.4113674,2.5839329,95.58341,478.57993,8.84602,-0.3852108,1551.5386,125.8,1.4,50.0,0.13967942,23.247992,384.193,63.82293,55.355
3.263444679913604,6.432701002287276,1,2.209924,1.9403261,134.38046,1.8054494,3.6424444,0.44388828,1709.9641,123.4,1.7,60.0,0.2736225,19.400133,10687.617,114.6526,55.355
3.228140889247707,6.467196309197465,1,10.344022,2.3615048,197.35965,1.0,3.4172597,0.45033944,1572.0745,124.3,1.3,50.0,0.4128569,29.5,16963.256,690.30383,55.355
3.233530780952424,6.47150822256124,1,10.208504,2.2827542,200.35721,2.5060227,4.0351315,0.7820237,1572.0745,124.3,1.3,50.0,0.26745328,30.0,19448.855,510.1574,55.355
