,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.5969079939668175,0.5867875647668394,0.6776364996260285,0.628948281846581,0.6431429538351283
Random Forest,0.728129713423831,0.7193732193732194,0.7554225878833208,0.7369573148485954,0.7978540003583302
XGBoost,0.700603318250377,0.6902592852137351,0.7367240089753179,0.7127351664254703,0.767447978136171
