osm_id,name,category,risk_tier,risk_label,longitude,latitude
1260594472,Unnamed,building,3.0,High,3.250284,6.5139485
1263452965,Unnamed,building,4.0,Very High,3.2820019,6.502608
1258327373,Unnamed,building,4.0,Very High,3.2583537,6.4594443
1257794316,Unnamed,building,2.0,Moderate,3.2723238,6.4678762
1261892351,Unnamed,building,2.0,Moderate,3.2238761,6.5169815
1258601801,Unnamed,building,4.0,Very High,3.2492479,6.4626548
1262178204,Unnamed,building,3.0,High,3.2848205,6.503841
1267706197,Unnamed,building,4.0,Very High,3.2172494,6.4419496
1263431454,Unnamed,building,4.0,Very High,3.240442,6.5023215
1272821567,Unnamed,building,0.0,NoData,3.2774535,6.5213355
1263407855,Unnamed,building,2.0,Moderate,3.2804518,6.5057043
1259329765,Unnamed,building,3.0,High,3.2732748,6.5001102
1268611604,Unnamed,building,4.0,Very High,3.2479337,6.5008732
1267746235,Unnamed,building,3.0,High,3.2145601,6.4461498
1276421798,Unnamed,building,0.0,NoData,3.3099767,6.4986263
1263470538,Unnamed,building,1.0,Low,3.2495304,6.4981396
1258461855,Unnamed,building,0.0,NoData,3.3223566,6.4440239
1276000390,Unnamed,building,2.0,Moderate,3.2983563,6.5133348
1267033233,Unnamed,building,3.0,High,3.2998072,6.4765548
1263275116,Unnamed,building,4.0,Very High,3.2323833,6.5138059
1260529044,Unnamed,building,3.0,High,3.263409,6.4999054
1257402813,Unnamed,building,2.0,Moderate,3.2685477,6.4480845
1262941097,Unnamed,building,1.0,Low,3.2675418,6.5065868
1258256452,Unnamed,building,4.0,Very High,3.2790081,6.4622364
1257417261,Unnamed,building,3.0,High,3.2763774,6.4482697
1257790480,Unnamed,building,4.0,Very High,3.2608416,6.4428629
1258716509,Unnamed,building,3.0,High,3.2826211,6.4550061
1267538555,Unnamed,building,4.0,Very High,3.2139384,6.4576017
1258280970,Unnamed,building,2.0,Moderate,3.2305344,6.4471479
1258247983,Unnamed,building,3.0,High,3.2643239,6.4462177
1263527790,Unnamed,building,4.0,Very High,3.252082,6.4974347
