Feature,Mean_Abs_SHAP
ndvi,0.07366306057312835
elevation,0.036108138906278675
lulc,0.02586727255144535
distance_to_drainage,0.024812065062948193
soil_permeability,0.023254047343118776
aspect,0.016843718511280643
flow_accumulation,0.016821410176870142
curvature,0.015006911177654837
twi,0.014858416122310317
slope,0.01320177853825919
mean_rainy_days,0.009968002800645531
extreme_rain_freq,0.008328168591277815
mean_annual_rainfall,0.0074986018808853
gpm_antecedent_rainfall,0.00566951519682648
